id,first_name,last_name,num_reviews,avg_review,img_problems,type,num_previous_clients,days_since_login,age,years_experience
82,Laurie,Collins,0,0.64,0,basic,0,0,52,1
83,Lauren,Vital,1,0.22,0,basic,2,8,25,3
84,Audrey,Berry,0,1.52,0,advanced,0,35,27,2
85,Jerome,Robinson,0,1.36,2,basic,0,2,33,5
86,Deborah,Twyman,1,1.46,5,advanced,1,1,34,1
87,Luis,Peterson,2,0.12,0,advanced,2,20,34,10
88,Pamela,Hopper,1,0.94,5,advanced,5,17,54,3
89,Opal,Hook,2,1.71,0,expert,1,0,26,8
90,Richard,Grinstead,1,4.06,7,expert,1,7,23,5
91,Jeanne,Smith,1,3.92,0,expert,3,2,39,4
92,Barbara,Studebaker,0,3.4,3,basic,0,0,52,10
93,Donald,Wade,2,3.01,6,advanced,0,11,48,14
94,Gail,Reeder,0,0.29,5,expert,1,46,23,12
95,Margarita,Maryland,0,2.95,2,expert,2,7,29,2
96,Ronald,Fletcher,1,1.12,6,advanced,1,35,42,10
97,Irene,Wright,0,2.91,4,advanced,1,2,41,1
98,Florence,Moore,2,0.79,7,expert,0,0,50,9
99,Tia,Stewart,3,3.33,1,advanced,0,20,37,6
100,Clarence,Lovitt,0,0.01,3,expert,0,4,34,11
101,Lisa,Burr,0,4.25,2,basic,0,20,32,6
102,Michelle,Benson,0,4.25,0,advanced,1,120,44,1
103,Dorothy,Frank,1,0.22,2,basic,0,8,21,8
104,Jung,Owens,0,3.76,2,advanced,5,2,34,5
105,Charles,Biggs,0,0.95,6,advanced,5,6,36,8
106,Mark,Puckett,0,0.17,1,expert,3,11,49,4
107,Brian,Correa,0,1.63,5,advanced,5,2,45,2
108,Russell,Trumbore,1,0.5,1,expert,0,11,20,12
109,Craig,Shepard,3,3.21,1,basic,0,120,29,1
110,Victor,Jones,0,4.57,2,expert,0,20,34,2
111,Joan,Jewell,1,3.55,7,advanced,0,0,38,13
112,Brandi,Mendez,0,4.98,4,basic,0,4,32,6
113,Jan,Smolen,2,3.99,4,basic,4,120,35,8
114,Greg,Miller,2,4.13,0,expert,0,35,23,4
115,Florence,Hagedorn,3,3.29,7,expert,0,3,53,2
116,Carmen,Himes,3,1.69,1,advanced,0,20,47,12
117,Adam,Sowell,3,4.91,6,expert,0,0,19,6
118,Carrie,Wilson,3,2.79,7,advanced,5,0,38,12
119,Erwin,Ames,2,4.52,0,expert,4,120,54,8
120,Tina,Haynes,0,2.7,3,expert,0,0,53,3
121,Rebecca,Nenno,3,1.59,4,expert,0,8,31,12
122,Lavone,Turner,3,3.01,0,basic,0,8,21,12
123,Patricia,Garcia,0,1.55,3,expert,0,7,30,12
124,Muriel,Freeman,2,4.73,4,expert,1,14,21,10
125,Jewel,Kinard,3,2.46,2,basic,4,8,36,4
126,Michele,Gomez,1,1.3,2,basic,0,8,34,12
127,David,Willis,3,2.85,5,basic,0,0,44,9
128,Irene,Pursifull,1,3.46,0,basic,0,2,42,10
129,Lisa,Graham,3,3.64,4,advanced,4,0,53,7
130,Maria,Terry,0,2.73,6,advanced,0,72,28,14
131,Andrew,Fortenberry,0,1.07,2,advanced,0,7,45,11
132,Paul,Leon,2,0.32,1,expert,0,1,39,6
133,Kathy,Sloan,2,2.06,7,basic,0,8,33,13
134,Vanessa,Scharfenberg,1,2.18,5,advanced,0,46,32,2
135,Melissa,Walker,3,3.67,0,expert,1,26,25,10
136,Helen,Broten,3,0.79,7,advanced,0,2,21,7
137,Thomas,Hearnsberger,1,1.49,1,advanced,1,20,22,2
138,James,Lee,0,3.04,5,basic,0,8,26,13
139,Suzanna,Phipps,3,3.92,1,expert,0,3,42,11
140,Jose,Vannatten,3,1.17,4,basic,0,3,23,13
141,Phillip,Anast,0,3.67,0,advanced,3,5,38,4
142,Martha,Blunt,1,3.04,6,expert,0,46,22,10
143,Carlos,Coleman,3,4.05,7,advanced,5,2,51,7
144,Jeffery,Bennett,1,3.35,2,advanced,0,120,43,8
145,Robert,Nicks,0,4.17,3,expert,1,26,47,6
146,Hector,Wesley,1,2.59,3,advanced,0,5,38,8
147,Nicholas,Stillwell,3,4.76,0,advanced,4,0,49,3
148,Raymond,Smith,0,1.16,6,advanced,2,8,51,10
149,Pamela,Seyler,3,2.14,1,expert,0,0,53,8
150,Lisa,Salamanca,3,4.1,4,advanced,0,26,27,6
151,Stephen,Camilli,3,4.52,1,expert,1,35,28,3
152,Annie,Smith,1,2.19,1,advanced,0,46,47,1
153,Wesley,White,2,0.23,6,expert,0,1,41,10
154,Susie,Johnson,1,4.68,7,advanced,1,1,44,12
155,Joyce,Beech,2,0.2,5,advanced,0,6,33,2
156,David,West,0,4.95,6,expert,4,1,19,8
157,Jack,Tucker,0,3.76,3,advanced,0,46,46,13
158,Luis,Anastasiades,2,4.67,2,expert,0,3,50,6
159,Marie,White,1,4.06,6,expert,0,14,22,8
160,Leona,Townsend,3,0.26,0,expert,0,14,44,11
161,Fred,Moore,2,0.68,7,advanced,0,5,54,14
162,Christine,Watkins,0,3.99,0,advanced,1,72,21,12
163,Margaret,Macha,1,0.46,5,basic,0,2,32,14
164,Sylvia,Wells,1,4.58,4,expert,0,5,29,12
165,Jacqueline,Martinez,3,4.6,5,advanced,1,2,39,11
166,Catherine,Paget,0,2.41,2,expert,1,7,37,1
167,Darlene,Hunt,3,0.19,0,expert,0,72,53,3
168,Brandon,Mccain,2,2.4,3,basic,0,8,37,1
169,Christopher,Emmerich,3,0.52,4,advanced,0,8,46,4
170,Scott,Chase,1,0.43,7,advanced,0,14,19,2
171,Karen,Black,3,3.06,2,expert,2,5,28,6
172,Danielle,Robledo,3,4.38,7,advanced,0,7,46,9
173,Mark,Jones,1,3.55,7,basic,0,11,46,2
174,Lois,Williams,0,4.62,6,basic,4,0,29,5
175,Harold,Bristol,0,2.25,6,advanced,1,7,49,7
176,Natasha,Bellman,1,3.32,6,advanced,0,7,27,6
177,Louise,Pitonyak,2,0.83,4,advanced,0,1,21,1
178,Wayne,Wilkes,1,2.11,4,basic,0,14,24,4
179,Kelly,Vanschaick,1,4.19,1,advanced,0,14,31,5
180,David,Guyer,0,4.42,3,expert,4,0,24,14
181,Alice,Steel,0,2.06,6,basic,3,1,45,12
182,Roxana,Nelson,2,3.79,3,expert,3,46,35,11
183,Julie,Yates,1,2.4,1,expert,0,0,19,7
184,Wayne,Croom,0,1.39,1,expert,0,26,19,2
185,David,Merz,0,3.52,0,basic,2,2,26,11
186,Paul,Huntley,1,2.74,5,expert,0,35,42,8
187,Jimmie,Batchelder,1,0.4,7,advanced,0,8,44,8
188,David,Zabawa,1,0.42,4,advanced,0,3,26,14
189,Paul,Hansen,1,2.46,6,advanced,0,0,45,3
190,James,Baker,1,0.93,3,expert,0,0,34,3
191,Carol,Jones,0,3.01,0,expert,1,46,46,1
192,Rebecca,Castillo,1,0.44,2,expert,3,7,48,1
193,Nikki,Mills,1,3.96,6,basic,0,7,29,12
194,Mona,Holland,2,0.11,6,expert,5,2,32,3
195,Darryl,Tietjen,0,4.89,5,basic,0,1,50,12
196,Michael,Pretty,3,1.11,0,expert,0,5,42,3
197,Rhonda,Anderson,0,0.11,2,expert,0,20,20,5
198,Regina,Pruitt,1,4.3,4,advanced,0,0,26,9
199,Stephanie,Holt,1,0.64,5,advanced,0,20,37,13
200,Faith,Moore,2,1.2,1,expert,1,14,40,2
201,Jason,Bostwick,0,3.11,3,advanced,2,14,30,14
202,Lidia,Sweeney,1,0.4,0,expert,4,1,48,9
203,Stephen,England,2,1.35,5,expert,0,0,42,11
204,Jean,Prentice,1,1.96,4,expert,0,20,33,8
205,Lidia,Cobb,3,0.18,1,expert,0,26,21,2
206,James,Kelly,1,3.11,6,expert,3,5,31,5
207,Carlos,Thompson,0,1.59,0,advanced,0,35,27,2
208,Kimberly,Brown,0,2.41,5,expert,0,8,50,9
209,Florence,Rich,0,3.18,7,basic,0,5,39,11
210,Gay,Marlett,0,1.8,4,basic,2,2,19,1
211,Gregory,Lundmark,0,1.68,1,basic,1,2,43,1
212,Diana,Gutshall,1,4.93,3,advanced,5,2,52,1
213,Santana,Hickman,2,4.28,2,advanced,2,2,49,4
214,Barbara,Galassi,0,0.59,0,expert,0,35,41,3
215,Jeanine,Hazel,0,3.92,2,advanced,0,0,40,12
216,Walter,Mcqueen,3,3.41,7,basic,0,35,49,8
217,Jose,Garcia,0,1.21,2,expert,1,17,45,6
218,Thelma,Smith,0,1.81,1,expert,0,0,42,1
219,Maria,Ruiz,0,1.51,3,basic,0,8,37,7
220,Amy,Sanford,0,2.64,4,advanced,0,5,36,4
221,Carmen,Norwood,0,0.97,1,basic,2,26,30,6
222,Jeanine,Colon,1,2.65,0,expert,0,72,37,6
223,Ashley,Kuehne,2,2.78,6,basic,0,0,40,5
224,Ryan,Perry,3,2.1,2,basic,0,2,48,14
225,Dean,Culbreth,2,3.65,7,advanced,1,0,50,8
226,Michael,Koeneman,1,1.63,3,basic,2,8,34,11
227,John,Miller,0,1.25,5,basic,1,8,46,1
228,David,Jimenez,1,3.92,3,basic,2,8,49,1
229,Heather,Jones,0,1.17,6,advanced,2,5,37,5
230,Carl,Daughtrey,0,3.72,6,expert,2,1,48,13
231,Douglas,Souvannavong,0,4.65,4,expert,0,1,45,6
232,James,Harre,3,4.85,3,basic,0,2,52,1
233,Lori,Moquin,0,2.47,5,basic,0,1,54,9
234,Sarah,Holt,2,3.31,6,expert,0,2,53,9
235,Sheri,Base,3,3.23,0,advanced,0,3,53,7
236,Joan,Gillis,0,1.93,3,advanced,5,5,45,13
237,Dawn,Croshaw,0,2.44,2,advanced,0,5,34,2
238,Tasha,Brooks,0,2.07,4,basic,1,72,48,7
239,Michael,Beard,2,2.12,3,basic,0,0,26,13
240,Rachel,Waldman,3,4.72,6,expert,1,120,40,11
241,Anika,Roberts,2,4.24,7,basic,0,17,30,4
242,Matthew,Rome,3,3.22,0,expert,1,5,36,14
243,Susan,Kline,3,2.57,7,basic,0,72,40,8
244,Richard,Jones,2,0.09,3,basic,0,7,36,10
245,Verna,Harter,0,0.44,2,advanced,2,2,48,14
246,Julio,Hackney,3,4.04,1,expert,0,11,53,10
247,Audra,Sorensen,0,2.78,2,basic,0,3,50,1
248,Rodney,Clark,3,0.42,5,advanced,0,0,42,9
249,Alvin,Turner,2,3.22,2,advanced,4,5,38,2
250,Richard,Roberge,2,0.85,7,basic,0,3,53,11
251,Shane,Austin,2,2.85,3,basic,1,17,38,5
252,Stephane,Lomonaco,3,2.33,3,advanced,0,1,24,4
253,Stanley,Watson,2,0.63,7,expert,0,14,42,6
254,Diane,Palmer,3,4.34,6,basic,1,1,28,1
255,William,Dingman,0,4.58,3,basic,5,0,33,2
256,Laura,Fike,3,2.67,3,basic,5,0,49,4
257,Chuck,Jones,1,2.01,6,expert,2,5,51,11
258,James,Mifflin,2,4.76,1,expert,2,5,43,9
259,Neva,Yang,2,3.88,4,basic,0,2,21,6
260,Lucille,Collins,3,1.0,7,advanced,0,35,30,9
261,Bertha,Smith,1,3.61,6,basic,0,72,53,14
262,Randall,Rogers,3,1.03,6,basic,2,17,28,9
263,Robert,Hendrix,0,0.23,4,advanced,5,72,46,6
264,William,Kurth,3,1.49,7,advanced,1,2,52,14
265,Martha,Mares,0,0.93,5,basic,0,5,27,6
266,Phil,Chan,0,2.94,4,advanced,2,3,20,4
267,Stephanie,Baggett,1,4.58,5,expert,5,0,46,9
268,Derrick,Barrett,1,0.65,1,basic,2,17,24,3
269,Joanne,Ham,1,1.07,4,basic,0,2,26,9
270,Jeffrey,Thompson,2,1.74,5,advanced,2,0,49,4
271,Donald,Thomas,2,0.36,5,expert,0,1,41,5
272,Lynn,Sutton,1,2.73,4,advanced,2,11,49,6
273,Yolanda,Silago,1,3.81,0,advanced,0,2,51,13
274,Helen,Harrison,2,3.76,3,advanced,1,72,30,4
275,Roland,Schroer,0,4.69,4,expert,1,1,38,7
276,Billy,Emrich,3,3.45,5,basic,2,26,31,6
277,Tamika,Bernard,3,0.59,2,advanced,0,4,31,9
278,Jacob,Grimes,3,0.49,6,advanced,0,0,34,12
279,Nicole,Piper,0,1.2,3,basic,1,14,42,9
280,Dustin,Reid,0,3.5,3,expert,0,14,52,6
281,Nettie,Loredo,2,2.41,0,expert,0,8,36,6
282,Edwin,Tarver,0,0.97,0,basic,3,1,24,2
283,Ruth,Apilado,1,0.26,3,advanced,1,0,42,7
284,Justina,Jones,1,4.46,2,advanced,4,6,42,12
285,Michael,Wilson,1,4.87,0,basic,0,0,50,6
286,Vicki,Escobedo,1,3.46,2,advanced,1,5,43,6
287,Shelly,Lockett,2,1.86,6,basic,2,35,27,10
288,Noemi,Wright,0,1.96,3,basic,2,14,40,3
289,April,Blair,3,3.69,2,basic,0,0,20,7
290,George,Hamilton,1,3.96,7,expert,1,17,26,8
291,Jennifer,Oberry,2,1.29,7,basic,0,20,35,8
292,Jeff,Whitman,0,2.11,5,advanced,0,5,20,14
293,Bette,Dew,3,4.99,0,advanced,0,35,35,9
294,Grace,Mustard,3,3.17,3,advanced,0,7,31,6
295,Michele,Davis,1,3.23,7,expert,1,14,53,1
296,Ilene,Davis,2,0.14,7,basic,1,3,20,10
297,Christina,Marino,1,3.56,3,advanced,0,1,50,12
298,Iris,Boyd,3,3.3,1,advanced,0,7,49,7
299,Christoper,Rodriguez,1,0.94,1,advanced,0,1,50,9
300,Charles,Lewis,1,4.89,3,expert,0,2,35,12
301,Jennifer,Ross,2,1.21,0,advanced,0,0,51,7
302,Jerry,Terry,0,3.49,6,advanced,0,8,35,8
303,James,Hill,3,3.44,4,expert,0,72,24,9
304,Chris,Peach,1,2.18,2,basic,0,3,28,10
305,Grady,Tunnell,1,4.61,5,expert,0,8,49,4
306,Lois,Estrada,2,3.47,1,advanced,0,35,37,13
307,Becky,Titus,0,2.06,7,basic,0,0,37,11
308,Michelle,Bennett,1,1.61,4,advanced,2,20,31,4
309,Wallace,Newton,0,1.03,3,expert,1,4,41,14
310,Eleanor,Brown,0,3.45,4,expert,2,2,40,5
311,Robert,Reddick,1,2.18,5,basic,0,0,23,4
312,Nicole,Campbell,1,1.18,3,advanced,3,0,34,6
313,Peggy,Jefferson,0,2.08,0,basic,5,0,51,4
314,Samantha,Willis,2,0.61,5,expert,1,35,34,14
315,Claudette,Garza,0,0.3,5,basic,0,1,49,8
316,Gary,Laschinger,3,3.49,2,expert,1,2,23,10
317,Valerie,Sesco,2,3.17,3,basic,2,0,35,8
318,James,Abed,0,0.93,3,advanced,0,5,49,13
319,Edna,Babcock,2,2.67,3,expert,1,8,49,3
320,Joshua,Phillips,1,2.95,1,expert,0,0,24,12
321,Shirl,Malone,1,4.63,4,basic,2,2,41,14
322,Charles,Dodson,2,2.92,2,basic,0,0,33,5
323,Kim,Mccommons,2,3.9,6,basic,0,14,50,13
324,Deborah,Fant,0,2.91,6,basic,5,6,52,8
325,Alfredo,Scott,1,3.54,5,basic,2,1,23,8
326,Rose,Cowan,3,0.78,2,basic,1,2,48,8
327,Jason,Pounds,3,0.53,4,advanced,1,46,33,1
328,John,Pate,3,3.06,5,advanced,0,20,46,11
329,Susan,Clark,1,3.54,4,basic,0,26,50,14
330,Rhonda,Adams,0,2.7,5,basic,5,11,38,6
331,Lorraine,Morris,0,0.4,0,advanced,5,35,47,5
332,Geneva,Schwartz,1,1.2,6,basic,2,2,30,14
333,Margaret,Bauman,3,2.63,3,advanced,0,72,30,4
334,Kevin,Ackerson,1,3.61,0,advanced,0,20,25,4
335,Vivian,Moffatt,2,1.63,2,basic,0,20,42,14
336,Ruth,Sanders,3,3.89,3,advanced,1,3,48,7
337,Stephen,Smith,0,0.12,5,expert,0,0,52,9
338,Jamie,Eckstein,2,4.79,6,advanced,2,11,22,4
339,Tommy,Dillon,2,1.68,3,expert,5,1,35,14
340,John,Simpson,2,0.25,7,expert,0,35,45,2
341,Sharon,Thompson,1,0.68,5,basic,5,5,54,6
342,Marguerite,Lewis,0,2.83,5,basic,0,1,34,1
343,Thomas,Darlington,2,1.71,0,expert,0,1,37,11
344,Charles,Standley,3,2.71,5,advanced,0,14,34,11
345,Elenore,Smith,0,4.12,2,advanced,3,1,40,10
346,Kathleen,Daniels,2,3.65,2,basic,0,0,26,12
347,Diana,Clark,2,2.27,3,advanced,0,1,33,11
348,Teresa,Tate,3,0.91,3,advanced,3,0,22,13
349,Cher,Krefft,0,0.64,0,basic,0,7,35,8
350,John,Godfrey,1,4.25,1,advanced,5,4,23,4
351,Terry,Cooper,1,3.75,1,expert,1,5,53,13
352,Jeffery,Smith,3,4.59,3,advanced,0,26,54,3
353,Charles,Harrison,2,1.06,6,advanced,1,72,36,1
354,Larry,Dusenbery,2,4.84,4,basic,1,4,33,3
355,Robert,Gillette,3,2.38,6,expert,2,0,40,2
356,Christy,Parker,2,0.09,5,basic,2,26,33,5
357,Sharon,Wallace,2,2.24,3,advanced,1,72,24,4
358,Mathew,Spurlock,0,0.37,0,advanced,0,11,19,6
359,Eric,Smith,1,4.97,6,basic,0,35,33,11
360,Tori,Hartwell,0,3.3,2,basic,0,11,38,1
361,Jodi,Pollard,0,3.5,1,expert,0,26,41,12
362,Stacey,Hill,2,3.83,7,basic,0,8,49,9
363,Lolita,Worthington,0,1.19,7,advanced,1,11,27,12
364,April,Larrison,0,0.28,0,expert,1,26,26,2
365,Jennifer,Giesen,3,1.78,0,advanced,0,0,53,12
366,Leroy,Francis,2,1.41,3,advanced,1,3,54,9
367,Freida,Roswell,2,0.06,7,expert,2,17,53,3
368,Jeremy,Ruiz,3,2.84,0,basic,0,120,42,3
369,Robert,James,1,3.07,0,expert,0,2,33,11
370,William,Leach,1,3.45,3,advanced,1,4,29,9
371,Robert,Smith,1,1.73,3,basic,0,0,33,8
372,Peter,Scanlan,1,1.37,5,basic,1,1,31,10
373,Thomas,Hagle,0,2.86,0,basic,0,2,41,13
374,Gregory,Worden,2,4.58,6,advanced,0,11,40,4
375,Valerie,White,2,1.26,5,advanced,2,0,48,1
376,Joseph,Korn,2,3.33,4,advanced,0,46,43,11
377,Hazel,Brymer,3,3.57,3,advanced,0,7,47,4
378,Frank,Senegal,2,4.52,1,expert,0,3,37,6
379,Eva,Kutch,1,0.85,7,advanced,0,14,22,9
380,James,Clair,0,2.61,4,basic,0,8,27,1
381,Christopher,Isaacson,0,3.47,7,basic,0,14,44,3
382,David,Jones,3,4.04,1,expert,1,14,41,13
383,Samuel,Haughney,3,2.63,4,basic,4,0,32,12
384,Kathleen,Oslund,3,2.17,3,advanced,2,8,36,8
385,Amy,Toenges,0,4.02,3,basic,1,17,27,6
386,Craig,Solis,1,1.57,4,basic,0,0,53,8
387,Gregory,Warner,1,2.6,2,expert,4,5,22,4
388,Maureen,Young,3,1.01,3,expert,3,46,45,12
389,Armando,Hanes,2,2.26,5,basic,2,7,28,7
390,Melvin,Posadas,3,2.19,1,basic,0,17,47,5
391,Alicia,Champagne,1,2.73,1,expert,0,0,43,14
392,John,Barginear,2,3.5,2,advanced,0,6,25,11
393,Robert,Mcneese,1,1.13,7,advanced,0,2,32,12
394,Justin,Butler,0,1.6,4,advanced,0,4,45,3
395,Warren,Palmer,0,0.59,7,advanced,0,26,25,13
396,Joseph,Jackson,3,2.54,0,advanced,0,1,53,6
397,Enoch,Mclaughlin,3,4.87,1,basic,0,1,30,10
398,Vicki,Miller,1,3.65,0,expert,2,2,20,7
399,James,Meadows,0,0.89,7,expert,0,72,35,5
400,Lashay,Davies,2,2.01,2,expert,0,3,24,12
401,Marisa,Devine,0,2.46,7,expert,0,120,35,6
402,Johnny,Berrios,1,2.63,0,expert,0,1,40,10
403,Laura,Lott,3,4.32,1,basic,5,0,20,3
404,Dorothy,Goud,2,1.96,7,expert,0,35,22,2
405,Patricia,Stewart,2,3.89,0,advanced,2,6,53,14
406,Roselee,Motte,2,4.53,6,basic,0,1,49,10
407,Linda,Reeves,1,1.69,2,advanced,0,35,24,7
408,David,Thompson,3,0.16,6,expert,0,35,51,14
409,Ray,Withers,2,3.3,4,expert,0,46,28,1
410,Martin,Richards,0,1.88,2,expert,1,17,27,13
411,Alice,Hudson,3,0.66,5,expert,0,0,33,11
412,Heather,Jorstad,1,2.42,6,advanced,2,3,32,4
413,Carol,Saleha,2,4.79,5,expert,1,14,31,13
414,April,Eadie,1,0.27,0,basic,0,26,29,11
415,Ryan,Doran,1,3.68,1,basic,5,4,35,11
416,Charles,Kuter,1,1.75,4,expert,2,8,33,10
417,Gary,Kirkland,0,3.86,6,advanced,0,120,48,3
418,Dale,Castellano,1,4.99,4,basic,0,0,46,6
419,John,Scott,0,1.96,6,basic,5,1,37,10
420,Marjorie,Schaefer,1,2.82,5,expert,2,0,50,2
421,Maria,Smith,0,0.65,2,advanced,4,3,40,8
422,Susan,Romero,3,2.82,0,basic,2,0,27,4
423,Lorraine,Conrad,3,0.85,7,basic,0,46,27,10
424,Donald,Shipman,1,1.02,5,expert,0,8,20,13
425,Louise,Spencer,0,3.62,5,advanced,0,2,42,5
426,Kelly,Mayorga,1,1.91,5,basic,0,7,34,13
427,Danny,Clevenger,2,3.82,1,basic,3,1,39,6
428,Lucille,Young,3,0.71,0,expert,0,17,37,14
429,Ralph,Capps,0,3.05,4,basic,0,46,45,6
430,Donald,Hood,1,3.93,5,advanced,1,20,22,4
431,Warren,Purvis,0,4.7,6,advanced,0,4,34,2
432,Holly,Parker,0,4.16,1,expert,2,3,36,7
433,James,Atkins,3,1.86,7,advanced,3,7,19,9
434,Betty,Sanders,2,2.12,7,basic,0,26,32,6
435,Teresa,Robinson,1,0.62,6,basic,2,72,49,12
436,Doris,Abner,3,2.44,0,advanced,1,8,44,6
437,Sandy,Archuleta,3,2.75,6,basic,2,72,43,10
438,Carl,Jackson,2,0.58,2,expert,2,0,45,5
439,Todd,Johnson,3,4.67,5,advanced,1,0,30,10
440,Melinda,Roehrig,3,4.42,2,advanced,0,35,24,4
441,Jeanette,Gilley,3,0.82,5,expert,2,0,20,12
442,Crystal,Stricklin,2,3.19,5,expert,0,26,26,7
443,Kenneth,Wong,1,2.54,4,advanced,4,1,24,9
444,Rex,Morgan,0,1.29,6,basic,0,120,41,9
445,Miguel,Chapman,1,0.92,7,basic,0,120,41,3
446,Janet,Reeves,1,0.58,6,advanced,0,1,34,4
447,Marie,Wilborn,3,4.28,4,basic,0,6,32,7
448,John,Bathke,3,2.76,2,expert,4,6,21,1
449,Arthur,Meluso,1,4.55,2,advanced,2,0,36,4
450,Stacey,Bernard,1,3.3,6,advanced,0,2,52,11
451,Darin,Shuck,0,3.18,1,basic,0,11,53,5
452,Amanda,Chavez,3,2.39,6,advanced,1,11,54,10
453,Nancy,Donze,3,1.89,7,expert,1,3,20,4
454,Robert,Marquis,1,3.24,0,advanced,0,1,34,1
